,DateTime,Open,Close,Volume,date,time
0,2023-05-01 09:30:00-04:00,322.09,322.13,789082,2023-05-01,09:30:00
1,2023-05-01 09:35:00-04:00,322.12,322.29,630057,2023-05-01,09:35:00
2,2023-05-01 09:40:00-04:00,322.27,322.1,499475,2023-05-01,09:40:00
3,2023-05-01 09:45:00-04:00,322.09,322.46,538842,2023-05-01,09:45:00
4,2023-05-01 09:50:00-04:00,322.47,322.58,564619,2023-05-01,09:50:00
5,2023-05-01 09:55:00-04:00,322.57,322.35,615190,2023-05-01,09:55:00
6,2023-05-01 10:00:00-04:00,322.34,321.96,862732,2023-05-01,10:00:00
7,2023-05-01 10:05:00-04:00,321.97,322.22,596711,2023-05-01,10:05:00
8,2023-05-01 10:10:00-04:00,322.22,322.03,518231,2023-05-01,10:10:00
9,2023-05-01 10:15:00-04:00,322.03,322.06,497048,2023-05-01,10:15:00
10,2023-05-01 10:20:00-04:00,322.05,321.79,617059,2023-05-01,10:20:00
11,2023-05-01 10:25:00-04:00,321.78,321.8,340222,2023-05-01,10:25:00
12,2023-05-01 10:30:00-04:00,321.79,321.99,519072,2023-05-01,10:30:00
13,2023-05-01 10:35:00-04:00,321.99,321.93,415298,2023-05-01,10:35:00
14,2023-05-01 10:40:00-04:00,321.94,321.79,459957,2023-05-01,10:40:00
15,2023-05-01 10:45:00-04:00,321.79,322.25,452971,2023-05-01,10:45:00
16,2023-05-01 10:50:00-04:00,322.25,322.35,360819,2023-05-01,10:50:00
17,2023-05-01 10:55:00-04:00,322.37,322.66,444291,2023-05-01,10:55:00
18,2023-05-01 11:00:00-04:00,322.66,322.42,429506,2023-05-01,11:00:00
19,2023-05-01 11:05:00-04:00,322.43,322.37,362999,2023-05-01,11:05:00
20,2023-05-01 11:10:00-04:00,322.38,322.02,547294,2023-05-01,11:10:00
21,2023-05-01 11:15:00-04:00,322.01,321.57,773045,2023-05-01,11:15:00
22,2023-05-01 11:20:00-04:00,321.58,321.24,427666,2023-05-01,11:20:00
23,2023-05-01 11:25:00-04:00,321.23,321.31,500708,2023-05-01,11:25:00
24,2023-05-01 11:30:00-04:00,321.3,321.39,425760,2023-05-01,11:30:00
25,2023-05-01 11:35:00-04:00,321.4,321.34,252055,2023-05-01,11:35:00
26,2023-05-01 11:40:00-04:00,321.35,321.69,315758,2023-05-01,11:40:00
27,2023-05-01 11:45:00-04:00,321.7,321.71,196154,2023-05-01,11:45:00
28,2023-05-01 11:50:00-04:00,321.71,321.85,194803,2023-05-01,11:50:00
29,2023-05-01 11:55:00-04:00,321.85,322.0,302263,2023-05-01,11:55:00
30,2023-05-01 12:00:00-04:00,322.01,322.2,368826,2023-05-01,12:00:00
31,2023-05-01 12:05:00-04:00,322.21,322.29,251865,2023-05-01,12:05:00
32,2023-05-01 12:10:00-04:00,322.3,322.31,191888,2023-05-01,12:10:00
33,2023-05-01 12:15:00-04:00,322.3,322.35,173610,2023-05-01,12:15:00
34,2023-05-01 12:20:00-04:00,322.36,322.41,144040,2023-05-01,12:20:00
35,2023-05-01 12:25:00-04:00,322.4,322.55,177945,2023-05-01,12:25:00
36,2023-05-01 12:30:00-04:00,322.56,322.93,417617,2023-05-01,12:30:00
37,2023-05-01 12:35:00-04:00,322.93,323.12,406354,2023-05-01,12:35:00
38,2023-05-01 12:40:00-04:00,323.11,322.96,355831,2023-05-01,12:40:00
39,2023-05-01 12:45:00-04:00,322.95,322.84,265645,2023-05-01,12:45:00
40,2023-05-01 12:50:00-04:00,322.84,323.1,270709,2023-05-01,12:50:00
