,Model,Analyzer,Action,Date,Time,Price,TradeNumber,Profit
0,Basic,basic,GOSHORT,2023-10-18,09_30_00,434.65,1,-0.1999999999999886
1,Crossover,basic,GOLONG,2023-08-23,10_00_00,440.64,2,0.2300000000000182
2,Crossover,basic,GOSHORT,2023-08-23,10_05_00,440.87,2,0.2300000000000182
3,Crossover,basic,GOLONG,2023-08-23,10_10_00,441.07,3,-0.1999999999999886
4,Crossover,basic,GOSHORT,2023-08-23,10_20_00,440.99,4,-0.079999999999984
5,Crossover,basic,GOLONG,2023-08-23,10_30_00,441.06,5,-0.0699999999999931
6,Crossover,basic,GOSHORT,2023-08-23,10_40_00,441.42,6,0.3600000000000136
7,Crossover,basic,GOLONG,2023-08-23,10_45_00,441.84,7,-0.4199999999999591
8,Crossover,basic,GOSHORT,2023-08-23,10_50_00,441.78,8,-0.0600000000000022
9,Crossover,basic,GOLONG,2023-08-23,11_05_00,441.84,9,-0.0600000000000022
10,Crossover,basic,GOSHORT,2023-08-23,11_15_00,441.94,10,0.1000000000000227
11,Crossover,basic,GOLONG,2023-08-23,11_25_00,442.15,11,-0.2099999999999795
12,Crossover,basic,SELL,2023-08-23,11_30_00,442.07,12,-0.079999999999984
13,Crossover,basic,GOSHORT,2023-08-23,11_35_00,442.0,13,0.160000000000025
14,Crossover,basic,GOLONG,2023-08-23,11_45_00,441.84,13,0.160000000000025
15,Crossover,basic,GOSHORT,2023-08-23,12_10_00,442.18,14,0.3400000000000318
16,Crossover,basic,GOLONG,2023-08-23,12_20_00,442.05,15,0.1299999999999954
17,Crossover,basic,GOSHORT,2023-08-23,12_25_00,442.07,16,0.0199999999999818
18,Crossover,basic,GOLONG,2023-08-23,13_00_00,442.48,17,-0.410000000000025
19,Crossover,basic,GOSHORT,2023-08-23,13_10_00,442.63,18,0.1499999999999772
20,Crossover,basic,BUY,2023-08-23,13_20_00,443.21,19,-0.5799999999999841
21,Crossover,basic,GOLONG,2023-08-23,13_25_00,443.22,20,0.1799999999999499
22,Crossover,basic,GOSHORT,2023-08-23,13_30_00,443.4,20,0.1799999999999499
23,Crossover,basic,BUY,2023-08-23,13_50_00,443.52,21,-0.1200000000000045
24,Crossover,basic,GOSHORT,2023-08-23,13_55_00,443.55,22,0.0600000000000022
25,Crossover,basic,GOLONG,2023-08-23,14_00_00,443.49,22,0.0600000000000022
26,Crossover,basic,GOSHORT,2023-08-23,14_10_00,443.12,23,-0.3700000000000045
27,Crossover,basic,GOLONG,2023-08-23,14_15_00,442.92,24,0.1999999999999886
28,Crossover,basic,GOSHORT,2023-08-23,14_20_00,443.04,25,0.1200000000000045
29,Crossover,basic,GOLONG,2023-08-23,14_30_00,442.83,26,0.2100000000000363
30,Crossover,basic,GOSHORT,2023-08-23,14_40_00,442.57,27,-0.2599999999999909
31,Crossover,basic,GOLONG,2023-08-23,14_45_00,442.68,28,-0.1100000000000136
32,Crossover,basic,GOSHORT,2023-08-23,14_50_00,442.79,29,0.1100000000000136
33,Crossover,basic,GOLONG,2023-08-23,15_10_00,442.98,30,-0.1899999999999977
34,Crossover,basic,GOSHORT,2023-08-23,15_15_00,443.01,31,0.0299999999999727
35,Crossover,basic,GOLONG,2023-08-23,15_30_00,443.09,32,-0.079999999999984
36,Crossover,basic,GOSHORT,2023-08-23,15_35_00,443.18,33,0.0900000000000318
37,Crossover,basic,GOLONG,2023-08-23,15_40_00,443.29,34,-0.1100000000000136
38,Crossover,basic,GOSHORT,2023-08-24,10_00_00,444.91,35,1.9500000000000453
39,Crossover,basic,BUY,2023-08-24,10_15_00,442.96,35,1.9500000000000453
40,Crossover,basic,GOSHORT,2023-08-24,10_20_00,442.51,36,1.2799999999999727
41,Crossover,basic,GOLONG,2023-08-24,10_45_00,441.23,36,1.2799999999999727
42,Crossover,basic,GOSHORT,2023-08-24,10_50_00,441.67,37,0.4399999999999977
43,Crossover,basic,GOLONG,2023-08-24,12_05_00,439.74,38,1.9300000000000068
44,Crossover,basic,GOSHORT,2023-08-24,12_10_00,440.18,39,0.4399999999999977
45,Crossover,basic,GOLONG,2023-08-24,12_55_00,439.89,40,0.2900000000000204
46,Crossover,basic,GOSHORT,2023-08-24,13_00_00,439.6,41,-0.2899999999999636
47,Crossover,basic,BUY,2023-08-24,13_05_00,439.98,42,-0.3799999999999954
48,Crossover,basic,GOSHORT,2023-08-24,13_10_00,439.78,43,0.6499999999999773
49,Crossover,basic,GOLONG,2023-08-24,13_25_00,439.13,43,0.6499999999999773
50,Crossover,basic,GOSHORT,2023-08-24,13_30_00,439.18,44,0.0500000000000113
51,Crossover,basic,GOLONG,2023-08-24,13_45_00,439.38,45,-0.1999999999999886
52,Crossover,basic,GOSHORT,2023-08-24,13_50_00,439.24,46,-0.1399999999999863
53,Crossover,basic,BUY,2023-08-24,14_00_00,439.45,47,-0.2099999999999795
54,Crossover,basic,GOSHORT,2023-08-24,14_05_00,439.47,48,0.3100000000000023
55,Crossover,basic,GOLONG,2023-08-24,14_15_00,439.16,48,0.3100000000000023
56,Crossover,basic,GOSHORT,2023-08-24,14_20_00,439.37,49,0.2099999999999795
57,Crossover,basic,GOLONG,2023-08-24,14_25_00,439.15,50,0.2200000000000272
58,Crossover,basic,GOSHORT,2023-08-24,14_30_00,439.24,51,0.0900000000000318
59,Crossover,basic,GOLONG,2023-08-24,14_45_00,438.72,52,0.5199999999999818
60,Crossover,basic,GOSHORT,2023-08-24,14_50_00,438.7,53,-0.0200000000000386
61,Crossover,basic,GOLONG,2023-08-24,15_25_00,438.69,54,0.0099999999999909
62,Crossover,basic,GOSHORT,2023-08-24,15_35_00,438.16,55,-0.5299999999999727
63,Crossover,basic,GOSHORT,2023-08-25,10_00_00,439.2,56,1.2199999999999704
64,Crossover,basic,BUY,2023-08-25,10_05_00,437.98,56,1.2199999999999704
65,Crossover,basic,GOLONG,2023-08-25,10_10_00,439.81,57,-0.6899999999999977
66,Crossover,basic,SELL,2023-08-25,10_15_00,439.12,57,-0.6899999999999977
67,Crossover,basic,GOLONG,2023-08-25,10_20_00,437.87,58,-0.2800000000000295
68,Crossover,basic,GOSHORT,2023-08-25,10_25_00,437.59,58,-0.2800000000000295
69,Crossover,basic,BUY,2023-08-25,10_55_00,435.25,59,2.339999999999975
70,Crossover,basic,GOSHORT,2023-08-25,11_00_00,435.47,60,-1.0499999999999543
71,Crossover,basic,BUY,2023-08-25,11_15_00,436.52,60,-1.0499999999999543
72,Crossover,basic,GOSHORT,2023-08-25,11_25_00,438.03,61,0.1499999999999772
73,Crossover,basic,GOLONG,2023-08-25,11_30_00,437.88,61,0.1499999999999772
74,Crossover,basic,GOSHORT,2023-08-25,11_35_00,438.6,62,0.7200000000000273
75,Crossover,basic,BUY,2023-08-25,11_40_00,438.3,63,0.3000000000000113
76,Crossover,basic,GOSHORT,2023-08-25,11_45_00,438.1,64,0.2200000000000272
77,Crossover,basic,GOLONG,2023-08-25,12_10_00,437.88,64,0.2200000000000272
78,Crossover,basic,GOSHORT,2023-08-25,12_15_00,437.78,65,-0.1000000000000227
79,Crossover,basic,GOLONG,2023-08-25,12_45_00,438.72,66,-0.9400000000000546
80,Crossover,basic,GOSHORT,2023-08-25,12_50_00,438.02,67,-0.7000000000000455
81,Crossover,basic,BUY,2023-08-25,13_00_00,438.65,68,-0.6299999999999955
82,Crossover,basic,GOSHORT,2023-08-25,13_05_00,438.48,69,-1.1200000000000043
83,Crossover,basic,GOLONG,2023-08-25,14_15_00,439.6,69,-1.1200000000000043
84,Crossover,basic,GOSHORT,2023-08-25,14_20_00,439.9,70,0.2999999999999545
85,Crossover,basic,BUY,2023-08-25,14_40_00,440.03,71,-0.1299999999999954
86,Crossover,basic,GOLONG,2023-08-25,14_50_00,440.62,72,0.1599999999999681
